WingID,alpha,U,U_ci,Re_c,Re_c_ci,rho,rho_ci,mu,mu_ci,T_atm,T_atm_CI,P_atm,P_atm_CI,P_V_mean,Fx_V_mean,Fy_V_mean,Fz_V_mean,Mx_V_mean,My_V_mean,Mz_V_mean,P_V_ci,Fx_V_ci,Fy_V_ci,Fz_V_ci,Mx_V_ci,My_V_ci,Mz_V_ci,FL_wt_mean,FD_wt_mean,FS_wt_mean,Mn_wt_mean,Ml_wt_mean,Mm_wt_mean,FL_wt_ci,FD_wt_ci,FS_wt_ci,Mn_wt_ci,Ml_wt_ci,Mm_wt_ci,t_s,f_s
F4352,-3,12.467485,0.457406524,816949.0422,29981.55029,1.183119403,0.001029813,1.81E-05,5.21E-09,18.36308913,0.046659859,98950.3158,84.65975,1.127049963,-0.33421882,-0.18648817,0.32792502,-0.230939465,0.149732574,0.228751173,0.016933153,0.171124736,0.02067955,0.137837716,0.012303509,0.142283297,0.069571187,-1.101821454,0.792664856,-1.037683149,-0.217751533,-0.334291873,0.024166065,2.461572727,1.668939826,15.75327254,0.415720363,0.47234071,0.097830923,45,4000
F4352,-4,12.45553769,0.440320557,816282.8436,28865.33038,1.183214694,0.001014418,1.81E-05,1.79E-09,18.33961176,0.016014959,98950.3158,84.65975,1.125354567,-0.337081388,-0.18769041,0.329464095,-0.231612095,0.151310837,0.226010026,0.01628548,0.145780657,0.019630828,0.119949413,0.011604202,0.137828827,0.059479179,-1.152837914,0.830158005,-1.022920772,-0.224080955,-0.340116459,0.030282524,2.114944197,1.472033591,14.07836886,0.383266457,0.411427472,0.084688261,45,4000
F4352,-6,12.44217198,0.429923177,815512.3733,28187.6682,1.183300922,0.001013164,1.81E-05,1.08E-09,18.31837092,0.009646782,98950.3158,84.65975,1.123443719,-0.333015008,-0.189011408,0.326566407,-0.233656236,0.150197365,0.226161577,0.015884394,0.12473179,0.01491656,0.09678507,0.009277763,0.113458981,0.048230147,-1.050688233,0.857649256,-1.021160017,-0.230680963,-0.319081195,0.034530504,1.712079576,1.178365243,11.70908883,0.31281281,0.347394964,0.068294193,45,4000
F4352,-8,12.43093161,0.449388517,814470.2668,29452.05722,1.183051009,0.001012694,1.81E-05,8.77E-10,18.3799419,0.007851463,98950.3158,84.65975,1.121587861,-0.334129442,-0.188351918,0.328816551,-0.234098068,0.149219914,0.226267298,0.016586273,0.111512392,0.013225261,0.084188741,0.007904288,0.101291556,0.042009381,-0.999395318,0.920592124,-1.012326943,-0.24862066,-0.314225104,0.034095652,1.48766372,1.036131129,10.39481765,0.27626186,0.309583675,0.059557065,45,4000
F4352,-10,12.41163864,0.454507227,813225.8974,29788.022,1.183067157,0.0010125,1.81E-05,6.70E-10,18.37596271,0.006003229,98950.3158,84.65975,1.118752037,-0.33939692,-0.187792608,0.33341638,-0.233545078,0.149506664,0.224332613,0.016749675,0.102760707,0.011982584,0.084349467,0.007542837,0.090904307,0.043663257,-1.043060692,1.005705757,-1.035710835,-0.270990643,-0.320792749,0.035207168,1.531965199,1.044432844,9.696754906,0.26024204,0.286912495,0.060974553,45,4000
F4352,-12,12.39956884,0.448362907,812405.5068,29384.73651,1.1830429,0.001016405,1.81E-05,2.55E-09,18.38194019,0.022798228,98950.3158,84.65975,1.1169536,-0.345626841,-0.187379281,0.338206657,-0.231784209,0.150404167,0.220755305,0.016506443,0.097712297,0.010780281,0.082912897,0.007174977,0.082743886,0.042168787,-1.177048526,1.115928967,-1.069018988,-0.29372209,-0.328328104,0.037069058,1.471663656,1.002700248,9.180788724,0.245896956,0.272236379,0.058589346,45,4000
F4352,-14,12.3831722,0.465870101,811413.3443,30534.31638,1.183110377,0.001013146,1.81E-05,1.18E-09,18.36531315,0.010532578,98950.3158,84.65975,1.114590704,-0.353566737,-0.188050332,0.343761858,-0.231521357,0.152250651,0.216872913,0.017130285,0.095297315,0.010697799,0.081867759,0.006943756,0.080778325,0.042128531,-1.263060075,1.215234299,-1.101954936,-0.318681772,-0.341171365,0.042798697,1.461684801,1.008848355,8.989268389,0.241452848,0.266004181,0.058439476,45,4000
F4352,-16,12.36101543,0.45233241,809701.7004,29638.14806,1.182896516,0.001015849,1.81E-05,2.41E-09,18.41801737,0.021604408,98950.3158,84.65975,1.111168229,-0.361581828,-0.18885467,0.349059508,-0.23166721,0.154406928,0.213108861,0.016598956,0.086932888,0.008666682,0.073654814,0.006060416,0.068342923,0.037287055,-1.324587817,1.317022866,-1.135977963,-0.343860552,-0.353440282,0.049105489,1.285349419,0.890992176,7.993364126,0.211012167,0.239808629,0.051477656,45,4000
F4352,-18,12.34156958,0.46240881,808536.2926,30301.86829,1.182985874,0.001013171,1.81E-05,1.26E-09,18.39599339,0.011274902,98950.3158,84.65975,1.108382259,-0.369851951,-0.189476497,0.35467941,-0.230851447,0.156408869,0.208768701,0.016943891,0.082942326,0.008501506,0.071601291,0.006049151,0.064968542,0.038667081,-1.432354878,1.440087417,-1.175547075,-0.371293368,-0.364143263,0.0546386,1.32131944,0.925891585,7.663334411,0.20309339,0.229370358,0.053120537,45,4000
F4352,-20,12.32891488,0.442540944,807656.8973,28998.86804,1.182944324,0.001014222,1.81E-05,1.80E-09,18.40623372,0.016157296,98950.3158,84.65975,1.106495298,-0.379634175,-0.190509708,0.361537205,-0.23041472,0.158573457,0.20390535,0.016197559,0.090685562,0.009133917,0.08065709,0.006788638,0.064096372,0.046427923,-1.537275298,1.571649176,-1.222170347,-0.403817453,-0.377431102,0.061926089,1.568881855,1.109636298,8.250740629,0.216547037,0.249132002,0.06330988,45,4000
