,elbowAngle,manusAngle
363,148.5746862,158.4129196
364,148.7740324,158.7702261
365,148.8473181,158.8984581
366,148.9510461,159.0767
367,148.9614293,159.0943195
368,149.2613178,159.5835901
369,149.2758561,159.606263
370,149.4233147,159.8301445
371,149.5668652,160.0367427
372,149.6156027,160.1053957
373,149.7229281,160.2599419
374,149.8843753,160.4994006
375,149.9114348,160.5401653
376,149.9181556,160.5503125
377,150.0069849,160.6851362
378,150.0402906,160.7359602
379,150.2174398,161.0073812
380,150.2669463,161.0831942
381,150.3755449,161.2487137
382,150.3945903,161.277576
383,150.6379131,161.6389806
384,150.8318491,161.9124018
385,151.041856,162.1869161
386,151.1014677,162.2598128
387,151.232565,162.4176832
388,151.2612672,162.4523005
389,151.3052959,162.5054248
390,151.54656,162.7964765
391,151.5856444,162.8435327
392,151.6071295,162.8693792
393,151.7012071,162.9823423
394,151.7250469,163.0109034
395,151.7526698,163.0439594
396,151.8311632,163.1376455
397,151.8629597,163.1754813
398,151.9478664,163.2761428
399,152.069545,163.4193124
400,152.1874053,163.556548
401,152.2171933,163.59098
402,152.2748983,163.6575061
403,152.2851064,163.6692609
404,152.375357,163.7730237
405,152.4637504,163.8744142
406,152.4637744,163.8744417
407,152.4878219,163.9019923
408,152.5525813,163.9761312
409,152.5751607,164.0019653
410,152.5896747,164.018568
411,152.6412927,164.0775969
412,152.7573094,164.2102225
413,152.7844038,164.2411971
414,152.8028727,164.2623133
415,152.8183655,164.2800287
416,152.8281842,164.2912493
417,152.8821934,164.3527628
418,152.8889809,164.3604753
419,152.9130817,164.3878421
420,152.9359382,164.4137831
421,152.9416716,164.4202901
422,152.9417132,164.4203374
423,152.9760745,164.4593556
424,152.9764747,164.4598103
425,152.9817079,164.465758
426,152.9903777,164.475616
427,152.9914785,164.476868
428,153.0049869,164.4922418
429,153.0230101,164.5127836
430,153.0248713,164.5149071
431,153.0262022,164.5164257
432,153.028414,164.518949
433,153.044995,164.5378524
434,153.0620058,164.5572228
435,153.086683,164.5852851
